STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/24/90,0,0,0,,73,50,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/25/90,0,0,0,,67,50,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/26/90,0,0,0,,70,50,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/27/90,0,0,0,,75,50,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/28/90,0,0,0,,74,58,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/29/90,0,0,0,,80,58,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/30/90,0,0,0,,73,59,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/1/90,0,0,0,,74,58,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/2/90,0,0,0,,77,56,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/3/90,0,0,0,,82,60,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/4/90,0,0,0,,88,60,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/5/90,0,0,0,,87,63,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/6/90,0,0,0,,79,57,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/7/90,0,0,0,,82,55,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/8/90,0,0,0,,84,58,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/9/90,0,0,0,,84,56,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/10/90,0,0,0,,87,63,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/11/90,0,0,0,,89,65,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/12/90,0,0,0,,93,64,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/13/90,0,0,0,,76,63,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/14/90,0,0,0,,80,55,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/15/90,0,0,0,,77,58,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/16/90,0,0,0,,80,63,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/17/90,0.02,0,0,,78,60,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/18/90,0.01,0,0,,71,60,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/19/90,0,0,0,,72,58,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/20/90,0,0,0,,79,61,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/21/90,0.15,0,0,,69,62,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/22/90,0.04,0,0,,67,58,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/23/90,0,0,0,,71,55,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/24/90,0,0,0,,72,54,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/25/90,0,0,0,,72,56,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/26/90,0,0,0,,75,51,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/27/90,0,0,0,,79,54,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/28/90,0.2,0,0,,70,61,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/29/90,0.13,0,0,,69,60,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/30/90,0.02,0,0,,75,60,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/31/90,0,0,0,,,,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/1/90,0.01,0,0,,68,57,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/2/90,0,0,0,,74,55,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/3/90,0,0,0,,74,53,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/4/90,0,0,0,,79,56,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/5/90,0,0,0,,83,53,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/6/90,0,0,0,,78,55,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/7/90,0,0,0,,78,55,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/8/90,0,0,0,,69,60,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/9/90,0,0,0,,73,58,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/10/90,0,0,0,,75,53,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/11/90,0,0,0,,65,53,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/12/90,0,0,0,,68,56,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/13/90,0,0,0,,74,52,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/14/90,0,0,0,,80,55,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/15/90,0,0,0,,65,57,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/16/90,0.01,0,0,,73,57,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/17/90,0,0,0,,73,57,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/18/90,0,0,0,,75,54,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/19/90,0,0,0,,72,52,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/20/90,0,0,0,,74,51,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/21/90,0,0,0,,78,52,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/22/90,0,0,0,,92,57,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/23/90,0,0,0,,72,57,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/24/90,0,0,0,,64,52,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/25/90,0,0,0,,69,58,
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",9/26/90,0,0,0,,68,53,
